summary,comments,labels
Workflow recommendations (next actions mapped to model signals) --------------------------------------------------------...,"Workflow recommendations (next actions mapped to model signals) ------------------------------------------------------------- - If comments contain ""500"", ""timeout"" or ""504"":   - Next actions: Check origin / backend logs → increase timeout on ServiceCallout → open high-priority ticket. - If comments say ""can't reproduce"" or ""needs more info"":   - Next actions: Request reproducible steps and sample payload; change status to ""Needs Info"" and tag requester. - If comments include ""SLA"" or ""breach"":   - Next actions: Escalate to ops, notify on-call, set SLA remediation steps, and estimate breach probability.","timeout,server-error,sla"
"Friendly closing / follow-up prompts ----------------------------------- - ""¿Quieres que genere un comentario listo para...","Friendly closing / follow-up prompts ----------------------------------- - ""¿Quieres que genere un comentario listo para pegar en el ticket con los pasos sugeridos?"" - ""¿Deseas que programe una tarea para reproductions y asignación automática?""",fixed
"Useful patterns for tickets --------------------------- - Find HTTP 500 errors in logs: rg ""\b500\b|\b502\b|\b504\b"" ./l...","Useful patterns for tickets --------------------------- - Find HTTP 500 errors in logs: rg ""\b500\b|\b502\b|\b504\b"" ./logs - Find SLA mentions: rg ""\bSLA\b|\bbreach\b"" -i - Extract trace IDs: rg ""trace_id=([A-Za-z0-9\-]+)"" -o","gateway-error,server-error,sla"
"- Blocker / Escalation: contains ""blocker"", ""urgent"", ""stop"", ""production"", ""SLA"", ""breach"".   - Action: set priority=Hi...","- Blocker / Escalation: contains ""blocker"", ""urgent"", ""stop"", ""production"", ""SLA"", ""breach"".   - Action: set priority=High, assign to on-call, notify Slack, set SLA remediation.","sla,assign"
"- Acceptance / Fix confirmed: contains ""fixed"", ""resolved"", ""closing"", ""verified by"".   - Action: move to resolved state...","- Acceptance / Fix confirmed: contains ""fixed"", ""resolved"", ""closing"", ""verified by"".   - Action: move to resolved state, request QA verification, add resolution comment.",fixed
"- Actionable TODOs: contains verbs + assignee: ""@john please deploy"", ""assign to"".   - Action: create subtask, add check...","- Actionable TODOs: contains verbs + assignee: ""@john please deploy"", ""assign to"".   - Action: create subtask, add checklist, set owner.",assign
Fields to extract from comments ------------------------------- - Timestamps and author (for timeline) - Mentioned ticke...,"Fields to extract from comments ------------------------------- - Timestamps and author (for timeline) - Mentioned ticket keys (e.g., PROJ-123) - Action verbs (deploy, rollback, investigate, reproduce) - Error codes and stack traces - SLA mentions and deadlines","auth,sla"
"Recommendation engine mapping (example) --------------------------------------- - If (SLA mention OR ""breach"") AND prior...","Recommendation engine mapping (example) --------------------------------------- - If (SLA mention OR ""breach"") AND priority != High -> recommend priority upgrade + immediate notification. - If (error codes 500/502/504) AND repeated across comments -> recommend system outage workflow: notify ops and create incident. - If (user reports ""can't reproduce"") -> propose reproducible steps template and set status Needs Info.","timeout,server-error,gateway-error,sla"
"How to integrate with `UnifiedMLPredictor` ---------------------------------------- 1. Use `predict_all(summary, comment...","How to integrate with `UnifiedMLPredictor` ---------------------------------------- 1. Use `predict_all(summary, comment_text)` to obtain priority/assignee/labels/status suggestions. 2. Combine model outputs with comment-extracted intents to compute a recommended workflow: e.g., assign + escalate + set SLA remediation. 3. Store the suggested actions as a structured suggestion attached to the ticket (comment or custom field).",sla
Advanced topics & patterns ------------------------- - Problem detection & Davis: Dynatrace groups related symptoms into...,"Advanced topics & patterns ------------------------- - Problem detection & Davis: Dynatrace groups related symptoms into Problems; use Problems API to fetch correlated services, root-cause entities, impacted hosts, and timestamps. Example pattern: when ML comment-suggester flags a ""timeout spike"", query Problems API for correlating CPU/latency anomalies in the incident window and attach top 3 problem IDs to the ticket. - Traces and distributed context: Use the Trace API to retrieve individual spans and to map slow traces to service endpoints. Correlate trace IDs found in logs with Dynatrace traces to assemble a timeline. - Custom metrics & tagging: Push business metrics (e.g., ticket_count, sla_breach_count) to Dynatrace via the Metrics API. Use consistent tag keys (project, queue, environment) so dashboards and Davis insights group correctly. - Synthetic monitoring: configure synthetic HTTP/browser monitors for critical flows (login, checkout, API health). When a synthetic monitor fails, automatically create a JIRA incident with synthetic test details and link to the run. - Log analytics: forward structured logs (JSON) and use auto-extracted attributes. Dynatrace can link logs to traces and problems via traceId and entity IDs; ensure your log format includes traceId and spanId. - Alerting & remediation runbooks: attach a short runbook link (from docs/playbooks) to problems and add automated remediation steps (e.g., scale-up, restart service) using webhooks or Automations API.","timeout,auth,sla"
- Metrics ingest (push custom metric v1): 	POST /api/v2/metrics/ingest 	Content-Type: text/plain; charset=utf-8 	Body fo...,"- Metrics ingest (push custom metric v1): 	POST /api/v2/metrics/ingest 	Content-Type: text/plain; charset=utf-8 	Body format example: custom.ticket.sla_breach,source=flowing value=1 timestamp",sla
- Authentication: use API tokens with appropriate scopes (API keys created via Dynatrace UI). Keep tokens out of docs (d...,- Authentication: use API tokens with appropriate scopes (API keys created via Dynatrace UI). Keep tokens out of docs (do not ingest credentials).,auth
Patterns for SPEEDYFLOW ---------------------- - Use OneAgent in staging/prod to collect traces and map slow transaction...,"Patterns for SPEEDYFLOW ---------------------- - Use OneAgent in staging/prod to collect traces and map slow transactions to tickets. - When comment patterns indicate ""timeout"" or ""500"", query Dynatrace Problems and Traces for related timestamps and attach summaries to the ticket. - Enrich tickets with Dynatrace problem IDs and URLs for quick investigation.","timeout,server-error"
Advanced SPL & operational patterns --------------------------------- - Efficient time-bounded searches:   Use `earliest...,"Advanced SPL & operational patterns --------------------------------- - Efficient time-bounded searches:   Use `earliest` and `latest` to constrain windows and speed up queries.   Example: index=app_logs ""500"" earliest=-15m latest=now | stats count by uri",server-error
- Example SPL patterns:   - Top endpoints returning 5xx in last hour:     index=app_logs status>=500 status<600 earliest...,- Example SPL patterns:   - Top endpoints returning 5xx in last hour:     index=app_logs status>=500 status<600 earliest=-1h | stats count by uri | sort -count   - Error rate delta detection (baseline):     index=app_logs level=ERROR earliest=-24h@h latest=now | timechart span=1h count as errors,"server-error,assign"
Useful SPL Patterns ------------------- - Search error rates in last 15 min:   index=app_logs level=ERROR | timechart co...,"Useful SPL Patterns ------------------- - Search error rates in last 15 min:   index=app_logs level=ERROR | timechart count by service span=1m - Find occurrences of HTTP 500 and top endpoints:   index=app_logs ""500"" | stats count by uri | sort -count - Correlate logs by trace id:   index=app_logs trace_id=abc123 | table _time service message",server-error
"Integration patterns -------------------- - For OTT providers: monitor mobile QoS (latency, throughput) per region and a...","Integration patterns -------------------- - For OTT providers: monitor mobile QoS (latency, throughput) per region and adapt bitrate/codec accordingly. - For API integrations with carriers: use well-defined RESTful APIs (provisioning, billing) behind an API management layer (Apigee) with mutual TLS / OAuth and strict rate limits.",auth
"Apigee (Google Cloud) is an API management platform that provides tools for designing, securing, deploying, monitoring, ...","Apigee (Google Cloud) is an API management platform that provides tools for designing, securing, deploying, monitoring, and analyzing APIs. Core features include API proxies, API gateways, traffic management, security policies (OAuth, API keys), analytics, developer portals, and monetization.","auth,gateway-error"
"Key concepts: - API proxy / gateway - Security: OAuth2, JWT, API keys, traffic quotas - Analytics and monitoring for API...","Key concepts: - API proxy / gateway - Security: OAuth2, JWT, API keys, traffic quotas - Analytics and monitoring for API usage - Developer portal for API documentation and onboarding - Policies for mediation, transformation, and routing","auth,gateway-error"
